StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q2,Q3,Q4,Q5_1,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_DO_1,Q8_DO_2,Q8_DO_3,Q8_DO_4,Q8_DO_5,Q8_DO_6,Q8_DO_7,Q8_DO_8,Q8_DO_9,Q8_DO_10,Q8_DO_11,Q8_DO_12,Q8_DO_13,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_DO_1,Q10_DO_2,Q10_DO_3,Q10_DO_4,Q10_DO_5,Q10_DO_6,Q10_DO_7,Q10_DO_8,Q10_DO_9,Q10_DO_10,Q10_DO_11,Q10_DO_12,Q10_DO_13,Q11,Q12_1_1,Q12_1_2,Q12_1_3,Q12_2_1,Q12_2_2,Q12_2_3,Q12_3_1,Q12_3_2,Q12_3_3,Q12_4_1,Q12_4_2,Q12_4_3,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_DO_1,Q17_DO_2,Q17_DO_3,Q17_DO_4,Q17_DO_5,Q17_DO_6,Q17_DO_7,Q17_DO_8,Q17_DO_9,Q17_DO_10,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_DO_1,Q22_DO_2,Q22_DO_3,Q22_DO_4,Q22_DO_5,Q22_DO_6,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_DO_1,Q23_DO_2,Q23_DO_3,Q23_DO_4,Q23_DO_5,Q23_DO_6,Q24_1,Q24_2,Q25_1,Q25_2,Q26_1,Q27_1,Q28_1,Q29_1,Q29_2,Q29_3,Q29_4,Q29_DO_1,Q29_DO_2,Q29_DO_3,Q29_DO_4,Q30_1,Q30_2,Q30_3,Q30_4,Q30_DO_1,Q30_DO_2,Q30_DO_3,Q30_DO_4,Q31_1,Q32_1,Q33_1,Q34_1,Q34_2,Q34_3,Q34_4,Q34_DO_1,Q34_DO_2,Q34_DO_3,Q34_DO_4,Q35_1,Q35_2,Q35_3,Q35_4,Q35_DO_1,Q35_DO_2,Q35_DO_3,Q35_DO_4,Q36_1,Q36_2,Q36_3,Q37_1,Q37_2,Q37_3,Q37_4,Q37_DO_1,Q37_DO_2,Q37_DO_3,Q37_DO_4,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q38_10,Q38_11,Q39_1,Q40_1,Q41,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q44_1,Q44_2,Q44_3,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q46_1,Q47_1,Q48_1,Q48_2,Q48_3,Q48_4,Q50,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q53,Q54,Q54_8_TEXT,Q55,Q56_1,Q56_2,Q56_3,Q56_4,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q58,FL_23_DO_FTswithnothreat,FL_23_DO_FTswithStatusThreat,EizoNormBreaker_DO_Q16,EizoNormBreaker_DO_Q15,HeherHousing_DO_Q18,HeherHousing_DO_Q21,HeherHousing_DO_Q20,HeherHousing_DO_Q19,SexualAssaultExperiment_DO_Q23,SexualAssaultExperiment_DO_Q22,SexualAssaultScenarios_DO_Q25,SexualAssaultScenarios_DO_Q24,Hanora-Democrats_DO_Q28,Hanora-Democrats_DO_Q26,Hanora-Democrats_DO_Q27,Hanora-Dem-Followup_DO_Q30,Hanora-Dem-Followup_DO_Q29,HanoraExperiment_DO_Q33,HanoraExperiment_DO_Q32,HanoraExperiment_DO_Q31,Hanora-Rep-Followup_DO_Q35,Hanora-Rep-Followup_DO_Q34
10/30/2018 22:06,10/30/2018 22:19,100,780,1,10/30/2018 22:19,R_26gRZDaHxMK08r1,1,2,1,1,65,1,2,37,38,71,39,41,66,91,28,56,,72,75,62,4,8,7,10,11,5,6,9,13,3,2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,1,2,1,1,1,2,1,2,4,,2,2,4,4,4,5,5,4,1,4,6,4,2,3,7,10,9,8,5,1,,,,61,,,,,,,,,,,,,4,6,3,5,8,7,3,1,6,4,2,5,2,2,,,,,21,4,3,1,4,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,6,3,6,5,2,4,1,3,,1,,,1,,,,,,1,1,2,3,9,2,3,4,1,,2,,2,,,,,,,,,,,,,1,1,1,1,2,80,3.4,61,76,75,88,1,1,1,,,1,,4,3,,4,,,,,1,,,,,,2,1,,,1,,1,,,1,,,1,1,,,,1,,,,,
10/30/2018 22:07,10/30/2018 22:19,100,720,1,10/30/2018 22:19,R_6LspLBZe6Cm2cpj,1,1,1,1,85,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,48,0,71,96,92,4,34,11,99,1,100,11,6,9,2,1,13,8,5,10,4,7,3,12,2,1,1,1,,,,,,,1,,1,1,2,2,1,1,1,2,,4,1,2,1,5,5,5,5,4,5,2,10,7,8,3,5,2,1,4,6,9,,,,62,,,,,,,,,,,,,,8,10,2,4,10,1,3,5,4,6,2,,,1,1,,,,,,,,,,,,3,4,2,3,1,4,2,3,,,,,,,,,,,,,,,,,,,,4,3,2,1,1,7,7,4,3,2,1,,,,,,,1,,,1,,3,2,1,8,1,5,2,1,1,2,,2,,,,,,,,,,,,,1,1,1,1,1,98,3.5,70,80,63,74,2,1,1,,,,,3,1,,1,,,,,,,1,,1,,2,,1,1,,,1,,,1,,1,,,,1,1,,,,,,
10/30/2018 22:07,10/30/2018 22:20,100,743,1,10/30/2018 22:20,R_QaLQXrfcDir6Vix,1,1,2,1,70,2,2,23,0,,55,42,62,100,88,27,6,0,80,100,7,10,3,11,13,5,9,4,8,1,2,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,,,1,,,,,,1,2,2,1,1,1,1,,,4,2,1,1,2,5,4,4,5,2,4,4,7,6,9,3,5,10,8,1,2,59,,,,3,10,10,10,10,10,4,6,3,5,1,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,3,,,5,2,3,4,2,4,1,3,,,,,,,,,3,3,2,2,1,6,7,2,4,3,1,,1,,,,1,1,,1,1,1,1,2,2,7,2,3,10,1,,4,,4,,,,,,,,,,,,,1,1,1,1,1,94,3.6,94,94,99,68,2,1,1,,,,,5,4,,3,1,1,1,1,,1,,,,,1,1,,1,,1,,,,,1,,1,,,,,,,,1,,1
10/30/2018 22:08,10/30/2018 22:20,100,722,1,10/30/2018 22:20,R_2EhtgRdJd4VtGtW,1,5,5,3,51,4,2,,,,,,,84,,63,40,,4,68,7,1,6,11,10,13,3,5,9,4,12,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,2,2,2,2,2,2,2,3,,4,1,1,2,3,4,4,5,1,3,10,7,6,3,1,2,4,9,8,5,,,,56,,,,,,,,,,,,,1,3,7,7,8,8,4,6,2,1,3,5,,,3,2,,,,,,,,,,,,,,,,,,,,,,,4,2,3,4,1,4,2,3,,,,,,,,,4,3,4,1,2,5,5,3,2,4,1,1,,,1,,,,,,1,1,2,,2,6,2,5,4,2,1,1,,1,,,,,,,,,,,,,1,1,1,1,1,66,3.6,64,72,84,67,2,1,,,1,,,3,5,,3,3,4,2,2,,1,,,,,2,1,,,1,,1,,,1,,1,,,,,,,1,,,,1
10/30/2018 22:05,10/30/2018 22:20,100,874,1,10/30/2018 22:20,R_20STtxql6ZzoKal,1,2,1,1,60,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,61,,85,85,50,,35,25,50,10,75,8,4,1,2,7,5,9,10,12,11,13,3,6,1,1,1,1,,1,,,,,1,,,2,1,2,2,2,1,2,2,,2,2,3,2,4,5,3,2,2,2,10,9,1,5,2,4,8,3,6,7,80,,,,,10,6,10,5,10,4,2,3,6,1,5,,,,,,,,,,,,,1,1,,,,,,3,2,1,4,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,4,3,7,6,2,1,4,3,,,,1,1,,,,1,,,2,,2,4,2,2,2,,2,1,,2,,,,,,,,,,,,,2,2,2,2,2,70,3.3,40,40,40,65,2,1,1,,,,,4,1,,3,,,,,,,1,,,,2,,1,,1,1,,,,,1,,1,,1,,,1,,,,,
10/30/2018 22:07,10/30/2018 22:20,100,827,1,10/30/2018 22:20,R_1jqV1mG8TWnrc83,1,2,2,2,83,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,7,54,51,67,69,100,67,74,81,61,52,67,10,13,9,7,4,11,6,12,2,1,8,3,5,3,1,,1,,,,,,1,1,,,1,2,2,2,2,1,2,4,,2,1,2,4,3,5,4,5,2,4,7,5,1,2,3,9,8,4,6,10,,,70,,2,7,10,9,8,9,5,3,6,4,1,2,,,,,,,,,,,,,,,1,1,,35,,,,,,,,,,3,4,3,2,3,1,4,2,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,6,7,2,1,3,4,,,,1,,,1,,,,,4,2,2,8,2,3,2,1,1,2,0,3,,,,,,,,,,,,,1,1,2,1,2,85,3.8,69,74,71,84,2,1,1,,,,,5,2,,1,2,2,1,2,,1,,,,,2,,1,,1,,,1,,,1,1,,,,1,1,,,,,,
10/30/2018 22:14,10/30/2018 22:21,100,385,1,10/30/2018 22:21,R_1ffRhg9vKSqRsW3,1,3,1,1,36,2,1,88,95,6,100,0,0,74,100,56,1,0,100,100,4,2,13,1,3,8,11,9,7,6,5,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,1,1,,,,,,,,1,2,2,1,1,1,1,,1,1,1,1,3,2,5,5,3,5,5,10,8,3,4,1,9,5,2,7,6,,29,,,,10,1,,6,5,6,3,4,5,2,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,100,2,2,2,2,4,1,3,2,,,,,,,,,4,2,2,7,7,1,1,2,1,3,4,,1,,,,,1,,1,,,1,1,3,7,1,5,7,1,4,2,2,4,,,,,1,,,,,0,,,1,2,1,1,1,100,3.5,92,100,100,100,1,1,1,,,,,2,7,,4,5,4,1,7,,,1,,,,1,1,,1,,,,,1,,1,,1,,,,,,1,,,,1
10/30/2018 22:06,10/30/2018 22:21,100,887,1,10/30/2018 22:21,R_1dnTpsyQTgWGdNO,1,3,3,1,75,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,17,45,46,55,72,100,31,100,49,72,53,62,11,8,2,5,7,12,3,9,13,6,4,10,1,3,1,,1,,,,1,,,1,,1,1,2,2,2,2,1,2,3,,2,1,1,2,3,5,2,3,4,2,8,4,2,5,6,10,9,7,1,3,,,81,,,,,,,,,,,,,,9,5,10,10,1,10,2,4,5,1,6,3,,,1,2,77,,,,,,,,,,,2,3,4,2,2,4,1,3,,,,,,,,,,,,,,,,,,,,5,5,5,1,5,4,5,2,1,4,3,,,1,1,,,,1,1,1,,1,3,2,6,3,6,8,1,9,5,,7,,,,,,,,,,,,,1,2,2,1,2,25,3.1,9,43,16,79,2,1,,,1,,,2,3,,3,1,3,1,1,,1,,,,,2,,1,,1,,,1,,1,,1,,,1,,1,,,,,,
10/30/2018 22:07,10/30/2018 22:21,100,846,1,10/30/2018 22:21,R_3HGoNH4S2fKr5oX,1,2,1,1,39,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,26,91,30,69,71,92,49,55,49,59,36,83,10,2,1,3,8,13,4,6,11,7,12,5,9,2,,,,,,,1,,,1,,,1,1,2,2,2,1,2,3,,1,2,1,4,3,5,2,4,1,2,9,1,3,5,2,10,6,7,8,4,,,91,,5,7,9,8,9,8,4,3,6,5,2,1,,,,,,,,,,,,,,,1,3,,,1,,,,,,,,,3,4,2,3,3,2,1,4,,,,,,,,,,,,,,,,,,,,4,2,1,3,2,5,6,4,1,3,2,,1,,1,1,,,,,,,3,1,2,7,2,4,4,1,,2,,2,,,,,,,,,,,,,2,2,2,2,2,80,3.7,84,88,83,92,1,3,1,,,,,4,2,,3,5,5,3,6,,,,,1,,1,,1,,1,,,1,,,1,1,,1,,,1,,,,,,
10/30/2018 22:10,10/30/2018 22:21,100,657,1,10/30/2018 22:21,R_OpsXOfutGCRkIMx,1,4,1,1,62,1,2,2,4,49,24,51,50,76,48,50,50,55,50,76,3,13,9,6,4,7,2,10,8,5,11,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,1,1,,1,3,2,2,2,2,1,1,,4,2,2,3,2,4,5,2,4,2,3,4,3,6,7,10,9,1,8,2,5,,,76,,4,7,5,7,6,5,1,2,3,5,4,6,,,,,,,,,,,,,3,2,,,4,,,5,2,1,5,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,3,5,5,2,1,3,4,,1,,,,,,,1,,1,3,1,1,7,2,5,5,0,0,2,,3,,,,,,,,,,,,,1,2,2,1,2,71,3.1,40,59,51,61,1,1,1,,,1,,4,2,,1,5,6,6,5,,1,,,,,1,1,,1,,,,1,,,1,,1,,1,,,1,,,,,
